ID;DEPARTAMENTO;CIUDAD;LOCALIDAD;BARRIO
1;1;1;7;103
2;1;1;7;103
6;1;1;7;107
7;1;1;7;103
8;1;1;7;105
9;1;1;7;114
10;1;1;7;103
11;1;1;7;103
14;1;1;7;113
15;1;1;7;107
17;1;1;7;107
18;1;1;7;103
20;1;1;7;115
21;1;1;7;113
22;1;1;7;107
23;1;1;7;103
24;1;1;7;103
25;1;1;7;103
26;1;1;7;103
29;1;1;7;103
30;1;1;7;103
31;1;1;7;103
32;1;1;7;103
33;1;1;7;103
34;1;1;7;103
36;1;1;7;103
37;1;1;7;107
38;1;1;7;103
39;1;1;7;103
40;1;1;7;103
42;1;1;7;103
43;1;1;7;113
44;1;1;7;103
45;1;1;7;103
47;1;1;7;103
49;1;1;7;113
50;1;1;7;103
52;1;1;7;103
53;1;1;7;103
54;1;1;7;103
58;1;1;7;103
59;1;1;7;107
61;1;1;7;103
62;1;1;7;107
63;1;1;7;107
64;1;1;7;107
65;1;1;7;103
66;1;1;7;107
69;1;1;7;103
70;1;1;7;103
72;1;1;7;110
76;1;1;7;107
77;1;1;7;103
78;1;1;7;107
80;1;1;7;103
83;1;1;7;107
85;1;1;7;115
86;1;1;7;103
87;1;1;7;103
88;1;1;7;103
89;1;1;7;113
90;1;1;7;103
92;1;1;7;103
93;1;1;7;103
94;1;1;7;103
96;1;1;7;103
98;1;1;7;107
100;1;1;7;113
103;1;1;7;107
104;1;1;7;107
106;1;1;7;103
107;1;1;7;103
108;1;1;7;107
111;1;1;7;103
112;1;1;7;107
114;1;1;7;103
116;1;1;7;107
117;1;1;7;107
118;1;1;7;103
119;1;1;7;110
120;1;1;7;110
121;1;1;7;110
122;1;1;7;110
123;1;1;7;110
124;1;1;7;110
125;1;1;7;110
126;1;1;7;110
127;1;1;7;110
128;1;1;7;110
129;1;1;7;107
131;1;1;7;110
132;1;1;7;110
133;1;1;7;110
134;1;1;7;110
135;1;1;7;110
136;1;1;7;107
138;1;1;7;103
140;1;1;7;103
142;1;1;7;113
145;1;1;7;110
146;1;1;7;103
147;1;1;7;103
148;1;1;7;103
149;1;1;7;103
150;1;1;7;103
152;1;1;7;103
153;1;1;7;107
155;1;1;7;103
161;1;1;7;103
164;1;1;7;110
166;1;1;7;110
168;1;1;7;107
169;1;1;7;103
170;1;1;7;107
172;1;1;7;103
173;1;1;7;113
175;1;1;7;103
178;1;1;7;103
179;1;1;7;103
180;1;1;7;103
181;1;1;7;107
182;1;1;7;103
183;1;1;7;110
184;1;1;7;103
188;1;1;7;107
189;1;1;7;103
190;1;1;7;103
191;1;1;7;103
192;1;1;7;107
193;1;1;7;103
194;1;1;7;103
195;1;1;7;103
196;1;1;7;107
197;1;1;7;103
198;1;1;7;103
199;1;1;7;110
200;1;1;7;107
202;1;1;7;105
205;1;1;7;107
207;1;1;7;103
208;1;1;7;107
209;1;1;7;110
210;1;1;7;103
211;1;1;7;103
213;1;1;7;107
214;1;1;7;103
215;1;1;7;107
216;1;1;7;103
217;1;1;7;103
219;1;1;7;107
220;1;1;7;103
222;1;1;7;110
225;1;1;7;103
226;1;1;7;107
227;1;1;7;103
228;1;1;7;103
230;1;1;7;103
231;1;1;7;103
232;1;1;7;103
234;1;1;7;103
235;1;1;7;103
236;1;1;7;103
238;1;1;7;110
241;1;1;7;103
242;1;1;7;103
245;1;1;7;103
246;1;1;7;113
248;1;1;7;107
249;1;1;7;103
250;1;1;7;103
251;1;1;7;103
252;1;1;7;103
255;1;1;7;103
257;1;1;7;103
260;1;1;7;103
262;1;1;7;103
264;1;1;7;103
266;1;1;7;103
270;1;1;7;103
271;1;1;7;103
272;1;1;7;103
273;1;1;7;113
274;1;1;7;103
276;1;1;7;103
281;1;1;7;103
282;1;1;7;113
283;1;1;7;107
285;1;1;7;107
286;1;1;7;103
287;1;1;7;107
289;1;1;7;105
290;1;1;7;110
291;1;1;7;103
292;1;1;7;107
293;1;1;7;113
294;1;1;7;110
296;1;1;7;113
297;1;1;7;110
300;1;1;7;107
301;1;1;7;113
302;1;1;7;103
